verb,verb - main semantic class,verb - second semantic class,verb - third semantic class,verb - tense
"być przekonanym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,past
"być świadomym, że_",epistemiczny,,,past
"być winnym czegoś, że_",?,,,present
"być zdania, że_",epistemiczny,,,present
"być zdania, że_",epistemiczny,,,present
"być zdania, że_",epistemiczny,,,present
"być zdania, że_",epistemiczny,,,present
"być zdania, że_",epistemiczny,,,present
"być zdania, że_",epistemiczny,,,present
"być zgodnym, że_",mówienia,epistemiczny,,past
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,present
"bywać, że_",zdarzeniowy,,,past
"bywać, że_",zdarzeniowy,,,past
"bywać, że_",zdarzeniowy,,,past
"bywać, że_",zdarzeniowy,,,past
"bywać, że_",zdarzeniowy,,,present
"chwalić się, że_",mówienia,emotywny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,past
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,past
"cieszyć się, że_",emotywny,epistemiczny,,past
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"cieszyć się, że_",emotywny,epistemiczny,,present
"martwić, że_",emotywny,epistemiczny,,present
"stać, że_",mówienia,,,present
wskazywać na [coś],wnioskowania,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,past
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],wnioskowania,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
wskazywać na [coś],mówienia,epistemiczny,,present
"czepiać się, że_",mówienia,wolicjonalny,,past
"[p] czuć, że_",percepcyjny,,,past
"czytać, że_",percepcyjny,mówienia,,present
"czytać, że_",percepcyjny,mówienia,,present
"dać do zrozumienia, że_",mówienia,epistemiczny,,past
"dać do zrozumienia, że_",mówienia,epistemiczny,,past
"dać do zrozumienia, że_",mówienia,epistemiczny,,past
"dać do zrozumienia, że_",mówienia,epistemiczny,,past
"dać do zrozumienia, że_",mówienia,epistemiczny,,past
"dać poznać, że_",czynnościowy,epistemiczny,,past
"dać słowo honoru, że_",mówienia,,,past
"dać znać, że_",mówienia,,,present
"decydować, że_",przyczynowy,epistemiczny,,present
"decydować, że_",przyczynowy,epistemiczny,,past
"decydować, że_",przyczynowy,epistemiczny,,present
"deklarować, że_",mówienia,,,present
"deklarować, że_",mówienia,,,present
"deklarować, że_",mówienia,,,present
"dochodzić do tego, że_",zdarzeniowy,,,present
"dodać, że_",mówienia,,,past
"dodać, że_",mówienia,,,past
"dodać, że_",mówienia,,,past
"dodać, że_",mówienia,,,past
"dodać, że_",mówienia,,,future
"dodać, że_",mówienia,,,present
"dodać, że_",mówienia,,,brak
"dodać, że_",mówienia,,,brak
"dodać, że_",mówienia,,,brak
"dodać, że_",mówienia,,,brak
"dodać, że_",mówienia,,,present
"dodać, że_",mówienia,,,present
"dodać, że_",mówienia,,,present
"dodać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,past
"dodawać, że_",mówienia,,,present
"dodawać, że_",mówienia,,,present
"dojść do czegoś, że_",zdarzeniowy,,,past
"domyślać się, że_",epistemiczny,,,present
"domyślać się, że_",epistemiczny,,,past
"domyślać się, że_",epistemiczny,,,present
"domyślać się, że_",epistemiczny,,,present
"domyślać się, że_",epistemiczny,,,present
"domyślać się, że_",epistemiczny,,,present
"domyślić się, że_",epistemiczny,,,present
"domyślić się, że_",epistemiczny,,,past
"domyślić się, że_",epistemiczny,,,past
"domyślić się, że_",epistemiczny,,,past
"domyślić się, że_",epistemiczny,,,past
"domyślić się, że_",epistemiczny,,,present
"dopowiedzieć, że_",mówienia,,,future
"doprowadzić do, że_",przyczynowy,,,future
"doprowadzić do, że_",przyczynowy,,,future
"dopuścić do czegoś, że_",przyczynowy,,,past
"[p] dostrzec, że_",percepcyjny,epistemiczny,,past
"[e] dostrzegać, że_",epistemiczny,percepcyjny,,present
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,future
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,past
"dowiedzieć się, że_",epistemiczny,,,future
"dowieść, że_",dowodzenia,wnioskowania,mówienia,past
"dowieść, że_",dowodzenia,wnioskowania,mówienia,past
"dowieść, że_",dowodzenia,wnioskowania,mówienia,past
"dowieść, że_",dowodzenia,wnioskowania,mówienia,past
"dowieść, że_",dowodzenia,wnioskowania,mówienia,past
"dowieść, że_",dowodzenia,wnioskowania,mówienia,past
"dowodzić, że_",dowodzenia,wnioskowania,mówienia,present
"dowodzić, że_",dowodzenia,wnioskowania,mówienia,past
"dowodzić, że_",dowodzenia,wnioskowania,mówienia,present
"dziać się, że_",zdarzeniowy,,,present
"dziękować, że_",mówienia,wolicjonalny,,present
"dziękować, że_",mówienia,wolicjonalny,,present
"dziękować, że_",mówienia,wolicjonalny,,present
"dziękować, że_",mówienia,wolicjonalny,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,brak
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,past
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"dziwić się, że_",epistemiczny,,,present
"głosić, że_",mówienia,,,future
"głosić, że_",mówienia,,,past
"głosić, że_",mówienia,,,present
"głosić, że_",mówienia,,,past
"grozić, że_",mówienia,wolicjonalny,,present
"grzmieć, że_",mówienia,emotywny,,past
"grzmieć, że_",mówienia,emotywny,,past
"gwarantować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,past
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,past
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"informować, że_",mówienia,,,present
"irytować, że_",emotywny,epistemiczny,,present
"jęczeć, że_",mówienia,emotywny,,present
"krakać, że_",mówienia,,,present
"lamentować, że_",mówienia,emotywny,,present
"liczyć się z czymś, że_",epistemiczny,,,present
"liczyć się z czymś, że_",epistemiczny,,,present
"liczyć się z czymś, że_",epistemiczny,,,brak
"liczyć, że_",epistemiczny,nie-wiedzowy,,past
"liczyć, że_",epistemiczny,nie-wiedzowy,,present
"liczyć, że_",epistemiczny,nie-wiedzowy,,present
"liczyć, że_",epistemiczny,nie-wiedzowy,,past
"liczyć, że_",epistemiczny,,,past
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,past
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,past
"liczyć, że_",epistemiczny,,,present
"liczyć, że_",epistemiczny,,,present
"łapać się na czymś, że_",epistemiczny,,,past
"łudzić się, że_",epistemiczny,wolicjonalny,,brak
"łudzić się, że_",epistemiczny,wolicjonalny,,past
"łudzić się, że_",epistemiczny,wolicjonalny,,past
"łudzić się, że_",epistemiczny,wolicjonalny,,past
"martwić się, że_",emotywny,epistemiczny,,past
"martwić się, że_",emotywny,epistemiczny,,present
"martwić się, że_",emotywny,epistemiczny,,present
"martwić się, że_",emotywny,epistemiczny,,past
"meldować, że_",mówienia,,,present
"meldować, że_",mówienia,,,present
"miarkować, że_",epistemiczny,,,past
"miarkować, że_",epistemiczny,,,past
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,past
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,past
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,brak
"mieć nadzieję, że_",epistemiczny,wolicjonalny,,present
"mieć odczucie, że_",epistemiczny,,,present
"mieć pewność, że_",epistemiczny,,,present
"mieć pewność, że_",epistemiczny,,,present
"mieć pewność, że_",epistemiczny,,,brak
"mieć poczucie, że_",epistemiczny,,,present
"mieć poczucie, że_",epistemiczny,,,present
"mieć radość, że_",emotywny,epistemiczny,,past
"mieć świadomość, że_",epistemiczny,,,present
"mieć świadomość, że_",epistemiczny,,,present
"mieć świadomość, że_",epistemiczny,,,present
"mieć świadomość, że_",epistemiczny,,,present
"mieć świadomość, że_",epistemiczny,,,present
"mieć świadomość, że_",epistemiczny,,,past
"mieć świadomość, że_",epistemiczny,,,present
"mieć świadomość, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,past
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,past
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,past
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,past
"mieć wrażenie, że_",epistemiczny,,,past
"mieć wrażenie, że_",epistemiczny,,,present
"mieć wrażenie, że_",epistemiczny,,,present
"mitygować, że_",mówienia,,,past
"mniemać, że_",epistemiczny,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,brak
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,past
"mówić, że_",mówienia,,,present
"mówić, że_",mówienia,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,past
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
"myśleć, że_",epistemiczny,,,present
