,verb,?,czynnościowy,dowodzenia,emotywny,epistemiczny,liczenia,mówienia,nie_wiedzowy,odkrycia,pamięciowy,percepcyjny,przyczynowy,wnioskowania,wolicjonalny,wolitywny,zdarzeniowy,o1+,o1-,o1o,o2+,o2-,o2o
98,"cieszyć się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
114,"martwić, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
116,wskazywać na [coś],0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
117,wskazywać na [coś],0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
124,wskazywać na [coś],0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
134,"czepiać się, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
136,"czytać, że_",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
138,"dać do zrozumienia, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
143,"dać poznać, że_",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
146,"decydować, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
147,"decydować, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
193,"[p] dostrzec, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
194,"[e] dostrzegać, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
224,"dziękować, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
225,"dziękować, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
245,"grozić, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
246,"grzmieć, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
267,"irytować, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
274,"liczyć, że_",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
275,"liczyć, że_",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
291,"łudzić się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
292,"łudzić się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
295,"martwić się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
296,"martwić się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
303,"mieć nadzieję, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
304,"mieć nadzieję, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
351,"mieć nadzieję, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
359,"mieć radość, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
686,"nacieszyć się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
689,"naigrawać się, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
690,"nakrzyczeć, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
704,"narzekać, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
709,"nic dziwnego, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
740,"niepokoić się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
752,"obić się o uszy, że_",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
770,"obliczać, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
771,"obliczyć, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
772,"obliczyć, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
773,"obrazić się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
777,"ocenić, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
780,"oczekiwać, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
781,"oczekiwać, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
901,"opierniczyć, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
917,"ostrzegać, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
919,"ostrzegać, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
921,"oszacować, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
932,"pamiętać, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
933,"pamiętać, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
935,"pamiętać, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
979,"pochwalić się, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
981,"pocieszać się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
983,"pocieszyć się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1023,"podziwiać za coś, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1058,"policzyć, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1075,"postanowić, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
1076,"postanowić, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
1229,"pozwolić, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
1230,"pozwolić, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
1231,"protestować, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0
1234,"przeczytać, że_",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
1251,"przekonywać, że [zwrotny]_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1255,"przeoczyć, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
1263,"przerazić się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1304,"przypominać sobie, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
1306,"przypominać sobie, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
1308,"przypomnieć sobie, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
1309,"przypomnieć sobie, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
1383,"rozczulić, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1427,"skrzyczeć, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1429,"słyszeć, że_[mowa]",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
1430,"słyszeć, że_[mowa]",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
1454,"[e] spostrzec, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1463,"sprawiać wrażenie, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
1464,"sprawiać, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1
1465,"sprawiać, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1
1481,"sprawić, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1
1486,"sprawić, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1
1562,"szacować, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1563,"szacować, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1678,"udokumentować, że_",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1703,"uprzedzić, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1707,"usłyszeć, że_[mowa] ",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
1708,"usłyszeć, że_[mowa] ",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
1709,"usłyszeć, że_[mowa] ",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
1711,"uspokajać, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1714,"ustalić, że_",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1715,"ustalić, że_",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1847,"wątpić, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1886,"[e] widać, że",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1887,"[p] widzieć, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
1888,"[p] widzieć, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
2078,"wskazać, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2079,"wskazywać [m], że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2082,"wspomnieć, że_",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2085,"wspomnieć, że_",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2087,"wybaczyć, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2088,"wybaczyć, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2089,"wybaczyć, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2095,"wychodzić, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2098,"wychodzić, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2099,"wyczytać, że_",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
2181,"wyjść, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2195,"wyliczyć, że_",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2196,"wynikać, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2197,"wynikać, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2216,"wyniknąć, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2227,"wyniknąć, że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2250,"wytykać, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2276,"zaobserwować, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
2277,"zapamiętać, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
2309,"zapominać, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
2311,"zapominać, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
2314,"zapomnieć, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
2317,"zapomnieć, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
2319,"zapomnieć, że_",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
2337,"zarządzić, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
2345,"zaskoczyć, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2356,"[e] zauważyć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2357,"[e] zauważyć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2358,"[e] zauważyć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2363,"[e] zauważyć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2371,"zazdrościć czegoś, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2424,"zdecydować, że_",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2425,"zdecydować, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
2434,"zdecydować, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
2435,"zdecydować, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
2436,"zdziwić się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2474,"zwąchać, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2477,"zwrócić uwagę, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2478,"zwrócić uwagę, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2479,"zwrócić uwagę, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2480,"żalić się, że_",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2481,"żałować, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2492,"[m] zauważyć, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2493,"[m] zauważyć, że_",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2507,"przekonywać o czymś, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2510,"przekonywać o czymś, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2514,"przypominać komuś, że_",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2515,"przypominać komuś, że_",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2516,"przypominać komuś, że_",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2527,"przypominać komuś, że_",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2528,"ustalić na podstawie czegoś, że_",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1
2529,"uświadamiać komuś, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2530,"uświadomić komuś, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2532,"uświadomić komuś, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2535,"uświadomić komuś, że_",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0
2556,"[e] widzieć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2560,"[e] widzieć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2579,"[p] widać, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
2581,"[p] widać, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
2584,"ustalić [na podstawie czego], że_",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
21,"alarmować, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,"argumentować, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35,"brać pod uwagę, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
37,"brać pod uwagę, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41,"być pewnym, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
42,"być pewnym, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
44,"być pewnym, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
56,"być przekonanym, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
57,"być przekonanym, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
69,"być świadomym, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,"być winnym czegoś, że_",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
71,"być zdania, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
78,"bywać, że_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0
87,"bywać, że_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0
115,"stać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
135,"[p] czuć, że_",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0
144,"dać słowo honoru, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
145,"dać znać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
149,"deklarować, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
152,"dochodzić do tego, że_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1
153,"dodać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
157,"dodać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
158,"dodać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
159,"dodać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
167,"dodawać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
173,"dodawać, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
176,"dojść do czegoś, że_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0
183,"domyślić się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
184,"domyślić się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
189,"dopowiedzieć, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
190,"doprowadzić do, że_",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1
192,"dopuścić do czegoś, że_",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1
195,"dowiedzieć się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
196,"dowiedzieć się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
206,"dowiedzieć się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
223,"dziać się, że_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0
228,"dziwić się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
230,"dziwić się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
237,"dziwić się, że_",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
241,"głosić, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
242,"głosić, że_",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
